,Origin_Dest,Destination,Company_names,start_date,end_date,Stops,Timings,Duration,Price
6,BOM,BLR,"GoFirst, AirAsia India",8/28/2023,12/27/2023,direct,22:40–00:30+1,1h 50m,"₹ 5,580"
7,BOM,BLR,"GoFirst, AirAsia India",8/28/2023,12/27/2023,direct,22:40–00:30+1,1h 50m,"₹ 5,580"
8,BOM,BLR,"Akasa Air, AirAsia India",8/28/2023,12/27/2023,direct,00:05–01:40,1h 35m,"₹ 5,622"
9,BOM,BLR,"Akasa Air, AirAsia India",8/28/2023,12/27/2023,direct,19:00–20:35,1h 35m,"₹ 5,622"
10,BOM,BLR,"Akasa Air, AirAsia India",8/28/2023,12/27/2023,direct,00:05–01:40,1h 35m,"₹ 5,622"
11,BOM,BLR,"Akasa Air, AirAsia India",8/28/2023,12/27/2023,direct,19:00–20:35,1h 35m,"₹ 5,622"
12,BOM,BLR,"Akasa Air, AirAsia India",8/28/2023,12/27/2023,direct,20:00–21:35,1h 35m,"₹ 5,672"
13,BOM,BLR,"Akasa Air, AirAsia India",8/28/2023,12/27/2023,direct,20:00–21:35,1h 35m,"₹ 5,672"
14,BOM,BLR,"Akasa Air, AirAsia India",8/28/2023,12/27/2023,direct,14:15–15:55,1h 40m,"₹ 5,672"
15,BOM,BLR,"Akasa Air, AirAsia India",8/28/2023,12/27/2023,direct,14:15–15:55,1h 40m,"₹ 5,672"
16,BOM,BLR,"Akasa Air, AirAsia India",8/28/2023,12/27/2023,direct,12:55–14:35,1h 40m,"₹ 5,672"
17,BOM,BLR,"Akasa Air, AirAsia India",8/28/2023,12/27/2023,direct,12:55–14:35,1h 40m,"₹ 5,672"
18,BOM,BLR,"Akasa Air, AirAsia India",8/28/2023,12/27/2023,direct,14:15–15:55,1h 40m,"₹ 5,672"
19,BOM,BLR,"Akasa Air, AirAsia India",8/28/2023,12/27/2023,direct,09:25–11:05,1h 40m,"₹ 5,672"
20,BOM,BLR,"Akasa Air, AirAsia India",8/28/2023,12/27/2023,direct,22:20–00:15+1,1h 55m,"₹ 5,672"
21,BOM,BLR,"Akasa Air, AirAsia India",8/28/2023,12/27/2023,direct,22:20–00:15+1,1h 55m,"₹ 5,672"
22,BOM,BLR,"Air India, AirAsia India",8/28/2023,12/27/2023,direct,18:55–20:25,1h 30m,"₹ 5,676"
23,BOM,BLR,"Air India, AirAsia India",8/28/2023,12/27/2023,direct,18:55–20:25,1h 30m,"₹ 5,676"
24,BOM,BLR,"Air India, AirAsia India",8/28/2023,12/27/2023,direct,16:40–18:25,1h 45m,"₹ 5,676"
25,BOM,BLR,"Air India, AirAsia India",8/28/2023,12/27/2023,direct,09:20–11:10,1h 50m,"₹ 5,676"
26,BOM,BLR,"Air India, AirAsia India",8/28/2023,12/27/2023,direct,04:00–05:50,1h 50m,"₹ 5,676"
27,BOM,BLR,"Air India, AirAsia India",8/28/2023,12/27/2023,direct,16:40–18:25,1h 45m,"₹ 5,676"
28,BOM,BLR,"Air India, AirAsia India",8/28/2023,12/27/2023,direct,06:45–08:40,1h 55m,"₹ 5,676"
29,BOM,BLR,"Air India, AirAsia India",8/28/2023,12/27/2023,direct,04:00–05:50,1h 50m,"₹ 5,676"
0,BOM,BLR,"Akasa Air, GoFirst",8/19/2023,11/30/2023,direct,20:00–21:35,1h 35m,"₹ 5,073"
1,BOM,BLR,"Akasa Air, GoFirst",8/19/2023,11/30/2023,direct,09:25–11:05,1h 40m,"₹ 5,073"
2,BOM,BLR,"Akasa Air, GoFirst",8/19/2023,11/30/2023,direct,00:05–01:40,1h 35m,"₹ 5,073"
3,BOM,BLR,"Akasa Air, GoFirst",8/19/2023,11/30/2023,direct,12:55–14:35,1h 40m,"₹ 5,073"
4,BOM,BLR,"Akasa Air, GoFirst",8/19/2023,11/30/2023,direct,09:25–11:05,1h 40m,"₹ 5,073"
5,BOM,BLR,"Akasa Air, GoFirst",8/19/2023,11/30/2023,direct,14:15–15:55,1h 40m,"₹ 5,073"
6,BOM,BLR,"Akasa Air, GoFirst",8/19/2023,11/30/2023,direct,12:55–14:35,1h 40m,"₹ 5,073"
7,BOM,BLR,"Akasa Air, GoFirst",8/19/2023,11/30/2023,direct,09:25–11:05,1h 40m,"₹ 5,073"
8,BOM,BLR,"Akasa Air, GoFirst",8/19/2023,11/30/2023,direct,22:20–00:15+1,1h 55m,"₹ 5,073"
9,BOM,BLR,"Air India, GoFirst",8/19/2023,11/30/2023,direct,18:55–20:25,1h 30m,"₹ 5,127"
10,BOM,BLR,"Air India, GoFirst",8/19/2023,11/30/2023,direct,18:55–20:25,1h 30m,"₹ 5,127"
11,BOM,BLR,"Air India, GoFirst",8/19/2023,11/30/2023,direct,04:00–05:50,1h 50m,"₹ 5,127"
12,BOM,BLR,"Air India, GoFirst",8/19/2023,11/30/2023,direct,09:20–11:10,1h 50m,"₹ 5,127"
13,BOM,BLR,"Air India, GoFirst",8/19/2023,11/30/2023,direct,18:55–20:25,1h 30m,"₹ 5,127"
14,BOM,BLR,"Air India, GoFirst",8/19/2023,11/30/2023,direct,18:55–20:25,1h 30m,"₹ 5,127"
15,BOM,BLR,"Air India, GoFirst",8/19/2023,11/30/2023,direct,06:45–08:40,1h 55m,"₹ 5,127"
16,BOM,BLR,"Air India, GoFirst",8/19/2023,11/30/2023,direct,09:20–11:10,1h 50m,"₹ 5,127"
17,BOM,BLR,"Air India, GoFirst",8/19/2023,11/30/2023,direct,04:00–05:50,1h 50m,"₹ 5,127"
18,BOM,BLR,"Air India, GoFirst",8/19/2023,11/30/2023,direct,09:20–11:10,1h 50m,"₹ 5,127"
19,BOM,BLR,"Air India, GoFirst",8/19/2023,11/30/2023,direct,04:00–05:50,1h 50m,"₹ 5,127"
20,BOM,BLR,"Air India, GoFirst",8/19/2023,11/30/2023,direct,09:20–11:10,1h 50m,"₹ 5,127"
